"","Year","4 year","2 year"
"1","1959",NA,NA
"2","1960",NA,NA
"3","1963",NA,NA
"4","1965",NA,NA
"5","1968",NA,NA
"6","1970",5042106,2308282
"7","1972",NA,NA
"8","1974",NA,NA
"9","1977",NA,NA
"10","1980",5926972,4441686
"11","1983",NA,NA
"12","1986",6073821,4515189
"13","1990",6667370,5085633
"14","1995",6655767,5352552
"15","1998",6791034,5311833
"16","2002",7421660,6317286
"17","2006",8031839,6259036
"18","2009",8845205,7136341
"19","2013",9445153,6658602
"20","2016",10064257,5893464
"21","1975",5695906,3944970
"22","1985",6027597,4378524
"23","1987",6227375,4631156
"24","1988",4487659,4615487
"25","1989",4604082,4883660
"26","1991",6726207,5494104
"27","1992",6750216,5567802
"28","1993",6687605,5423379
"29","1994",6651620,5393973
"30","1996",6658310,5389291
"31","1997",6714823,5432480
"32","1999",6898431,5461087
"33","2000",6996597,5755905
"34","2001",7199389,6044200
"35","2003",7617023,6252753
"36","2004",7754352,6285594
"37","2005",7888576,6227522
"38","2007",8248889,6369318
"39","2008",8450450,6675286
"40","2010",9105247,7250746
"41","2011",9305809,7108013
"42","2012",9392737,6829763
"43","2014",9588670,6427928
"44","2015",9698632,6274313
"45","2017",10165819,5765855
"46","2018",10277909,5601257
"47","2019",10364584,5434355
"48","2020",10329186,4734909
