Year,1931,1933,1935,1937,1939,1941,1943,1945,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
Public 4-year,523,474,544,607,689,631,511,724,989,1032,1036,972,882,910,976,1112,1211,1359,2341,2593,2928,3160,3444,3784,3963,4233,4347,4430,4530,4703,4998,4902,4945,4912,4980,5129,5166,5176,5223,5198,5210,5300,5432,5546,5694,5803
Public 2-year,59,56,71,82,108,101,61,110,163,154,171,168,156,192,210,241,265,298,740,875,1041,1189,1372,1646,1934,2195,2457,2641,2890,3285,3836,3752,3902,3874,4057,4329,4481,4520,4459,4279,4270,4414,4541,4615,4884,4938
Private 4-year,546,503,562,622,655,631,556,796,1127,1161,1179,1092,1020,986,997,1052,1134,1212,1588,1698,1820,1904,1955,1937,1975,2029,2022,2029,2060,2117,2217,2227,2298,2319,2373,2442,2489,2478,2518,2513,2506,2524,2558,2634,2693,2726
Private 2-year,26,23,32,39,42,40,28,47,59,57,58,50,44,47,48,41,43,50,111,114,132,137,141,146,133,124,122,115,122,119,134,132,141,155,160,198,236,252,264,252,261,266,235,260,267,243
